,역번호,역사명,노선번호,노선명,환승역구분,환승노선번호,환승노선명,역위도,역경도,주소,시도코드,시군구코드,법정동코드
0,0150,서울역,S1101,서울 도시철도 1호선,환승역,S1104+I4107,서울 도시철도 4호선+경의중앙선,37.55575305,126.9724563,서울특별시 중구,11,11020,1114000000
1,0151,시청,S1101,서울 도시철도 1호선,환승역,S1102,서울 도시철도 2호선,37.56471664,126.9767513,서울특별시 중구,11,11020,1114000000
2,0152,종각,S1101,서울 도시철도 1호선,일반역,,,37.57020349,126.9829483,서울특별시 종로구,11,11010,1111000000
3,0153,종로3가,S1101,서울 도시철도 1호선,환승역,S1103+S1105,서울 도시철도 3호선+서울 도시철도 5호선,37.57139366,126.9914115,서울특별시 종로구,11,11010,1111000000
4,0154,종로5가,S1101,서울 도시철도 1호선,일반역,,,37.57100685,127.001799,서울특별시 종로구,11,11010,1111000000
5,0155,동대문,S1101,서울 도시철도 1호선,환승역,S1104,서울 도시철도 4호선,37.57129132,127.0101189,서울특별시 종로구,11,11010,1111000000
6,0156,신설동,S1101,서울 도시철도 1호선,환승역,S1102,서울 도시철도 2호선+우이신설,37.57528723,127.0249104,서울특별시 동대문구,11,11060,1123000000
7,0157,제기동,S1101,서울 도시철도 1호선,일반역,,,37.57812027,127.0344966,서울특별시 동대문구,11,11060,1123000000
8,0158,청량리,S1101,서울 도시철도 1호선,환승역,I4105+I4107+I4109,분당선+경의중앙선+경춘선,37.5801441,127.0457768,서울특별시 동대문구,11,11060,1123000000
9,0159,동묘앞,S1101,서울 도시철도 1호선,환승역,S1106,서울 도시철도 6호선,37.57253741,127.0155932,서울특별시 종로구,11,11010,1111000000
10,0200,까치산,S1102,서울 도시철도 2호선,일반역,,,37.53168373,126.8467432,서울특별시 강서구,11,11160,1150000000
11,0201,시청,S1102,서울 도시철도 2호선,환승역,S1101,서울 도시철도 1호선,37.56461852,126.9760864,서울특별시 중구,11,11020,1114000000
12,0202,을지로입구,S1102,서울 도시철도 2호선,일반역,,,37.56597747,126.9825045,서울특별시 중구,11,11020,1114000000
13,0203,을지로3가,S1102,서울 도시철도 2호선,환승역,S1103,서울 도시철도 3호선,37.56634826,126.991482,서울특별시 중구,11,11020,1114000000
14,0204,을지로4가,S1102,서울 도시철도 2호선,환승역,S1105,서울 도시철도 5호선,37.56682797,126.9979016,서울특별시 중구,11,11020,1114000000
15,0205,동대문역사문화공원,S1102,서울 도시철도 2호선,환승역,S1104+S1105,서울 도시철도 4호선+서울 도시철도 5호선,37.56500251,127.007394,서울특별시 중구,11,11020,1114000000
16,0206,신당,S1102,서울 도시철도 2호선,환승역,S1106,서울 도시철도 6호선,37.56582912,127.0181023,서울특별시 중구,11,11020,1114000000
17,0207,상왕십리,S1102,서울 도시철도 2호선,일반역,,,37.56417104,127.0293524,서울특별시 성동구,11,11040,1120000000
18,0208,왕십리,S1102,서울 도시철도 2호선,환승역,S1105+I4105+I4107,서울 도시철도 5호선+분당선+경의중앙선,37.56152516,127.0375076,서울특별시 성동구,11,11040,1120000000
19,0209,한양대,S1102,서울 도시철도 2호선,일반역,,,37.55522179,127.0434917,서울특별시 성동구,11,11040,1120000000
20,0210,뚝섬,S1102,서울 도시철도 2호선,일반역,,,37.54712239,127.0473648,서울특별시 성동구,11,11040,1120000000
21,0211,성수,S1102,서울 도시철도 2호선,일반역,,,37.5444338,127.0559893,서울특별시 성동구,11,11040,1120000000
22,0212,건대입구,S1102,서울 도시철도 2호선,환승역,S1107,서울 도시철도 7호선,37.54060889,127.0700628,서울특별시 광진구,11,11050,1121500000
23,0213,구의,S1102,서울 도시철도 2호선,일반역,,,37.53691864,127.0857297,서울특별시 광진구,11,11050,1121500000
24,0214,강변,S1102,서울 도시철도 2호선,일반역,,,37.53487706,127.0946944,서울특별시 광진구,11,11050,1121500000
25,0215,잠실나루,S1102,서울 도시철도 2호선,일반역,,,37.52054808,127.1036977,서울특별시 송파구,11,11240,1171000000
26,0216,잠실,S1102,서울 도시철도 2호선,환승역,S1108,서울 도시철도 8호선,37.51376934,127.1021882,서울특별시 송파구,11,11240,1171000000
27,0217,잠실새내,S1102,서울 도시철도 2호선,일반역,,,37.51141143,127.0860068,서울특별시 송파구,11,11240,1171000000
28,0218,종합운동장,S1102,서울 도시철도 2호선,환승역,S1109,서울 도시철도 9호선,37.51106095,127.073542,서울특별시 송파구,11,11240,1171000000
29,0219,삼성,S1102,서울 도시철도 2호선,일반역,,,37.5086936,127.063165,서울특별시 강남구,11,11230,1168000000
30,0220,선릉,S1102,서울 도시철도 2호선,환승역,I4105,분당선,37.50437895,127.0486966,서울특별시 강남구,11,11230,1168000000
31,0221,역삼,S1102,서울 도시철도 2호선,일반역,,,37.50054496,127.0363944,서울특별시 강남구,11,11230,1168000000
32,0222,강남,S1102,서울 도시철도 2호선,환승역,I1102,신분당선,37.49720244,127.0280537,서울특별시 강남구,11,11230,1168000000
33,0223,교대,S1102,서울 도시철도 2호선,환승역,S1103,서울 도시철도 3호선,37.49320061,127.0142237,서울특별시 서초구,11,11220,1165000000
34,0224,서초,S1102,서울 도시철도 2호선,일반역,,,37.49178284,127.0075972,서울특별시 서초구,11,11220,1165000000
35,0225,방배,S1102,서울 도시철도 2호선,일반역,,,37.48130245,126.997636,서울특별시 서초구,11,11220,1165000000
36,0226,사당,S1102,서울 도시철도 2호선,환승역,S1104,서울 도시철도 4호선,37.4767992,126.9816245,서울특별시 동작구,11,11200,1159000000
37,0227,낙성대,S1102,서울 도시철도 2호선,일반역,,,37.47692607,126.9636002,서울특별시 관악구,11,11210,1162000000
38,0228,서울대입구,S1102,서울 도시철도 2호선,일반역,,,37.48103059,126.9526269,서울특별시 관악구,11,11210,1162000000
39,0229,봉천,S1102,서울 도시철도 2호선,일반역,,,37.48245978,126.9418478,서울특별시 관악구,11,11210,1162000000
40,0230,신림,S1102,서울 도시철도 2호선,일반역,,,37.48420085,126.9295937,서울특별시 관악구,11,11210,1162000000
41,0231,신대방,S1102,서울 도시철도 2호선,일반역,,,37.48741288,126.9135942,서울특별시 동작구,11,11200,1159000000
42,0232,구로디지털단지,S1102,서울 도시철도 2호선,일반역,,,37.48516215,126.9014847,서울특별시 구로구,11,11170,1153000000
43,0233,대림,S1102,서울 도시철도 2호선,일반역,,,37.49307207,126.8957105,서울특별시 구로구,11,11170,1153000000
44,0234,신도림,S1102,서울 도시철도 2호선,환승역,S1101,서울 도시철도 1호선,37.50874994,126.8912511,서울특별시 구로구,11,11170,1153000000
45,0235,문래,S1102,서울 도시철도 2호선,일반역,,,37.51779736,126.8945439,서울특별시 영등포구,11,11190,1156000000
